3.042	3.037	2.022	0.0124	-0.0091	-0.0349	4.328	4.279	4.251	4.206	0	0	0	0	0.0277886	-0.0260476	0.00130421	0.0681056	-0.199644	9.85106	-4.83	-2.34	1.18	0.997117	-0.0424381	-0.0214316	0.0112822	0
3.035	3.04	2.032	0.006	-0.0065	-0.0194	4.354	4.267	4.293	4.265	0	0	0	0	0.0724863	-0.0132768	-0.00295271	0.0668658	-0.0575503	9.82865	-4.78	-2.39	1.18	0.997127	-0.0419848	-0.021856	0.0112807	0
3.029	3.043	2.042	0.0008	-0.0038	-0.0048	4.356	4.265	4.286	4.211	0	0	0	0	0.0469448	-0.00901988	0.00130421	0.0724667	0.110003	9.79766	-4.68	-2.44	1.19	0.997153	-0.0411191	-0.0222683	0.0113303	0
3.022	3.047	2.053	-0.005	-0.0004	0.0105	4.349	4.244	4.281	4.253	0	0	0	0	0.00543981	0.0122647	0.0044969	0.0664732	0.0850855	9.76013	-4.64	-2.46	1.19	0.997163	-0.0407686	-0.0224478	0.0113906	0
3.021	3.048	2.053	-0.0057	0.0005	0.0088	4.342	4.263	4.241	4.23	0	0	0	0	0.0182106	0.0260997	0.00662536	0.0139045	0.0520534	9.74805	-4.6	-2.44	1.2	0.99718	-0.0404211	-0.022277	0.0114578	0
3.028	3.045	2.063	0.0006	-0.0023	0.0209	4.342	4.272	4.197	4.227	0	0	0	0	0.0235317	0.00694357	-0.000824246	0.029747	0.0402745	9.74183	-4.56	-2.45	1.2	0.997193	-0.0400641	-0.0223624	0.0114612	0
3.026	3.046	2.06	-0.0009	-0.001	0.015	4.331	4.251	4.232	4.22	0	0	0	0	-0.00945941	-0.00157027	0.00236844	0.0941528	0.0182396	9.77736	-4.57	-2.5	1.2	0.99718	-0.0401269	-0.0227914	0.0115005	0
3.025	3.046	2.054	-0.0016	-0.0008	0.0048	4.328	4.26	4.232	4.22	0	0	0	0	-0.0115879	0.00162242	-0.00295271	0.0929603	-0.0978729	9.78953	-4.63	-2.54	1.2	0.997149	-0.0406736	-0.0231827	0.0114739	0
3.026	3.045	2.039	-0.0014	-0.0022	-0.0172	4.314	4.267	4.227	4.272	0	0	0	0	0.0277886	0.0080078	-0.0061454	0.0999931	-0.058152	9.81692	-4.63	-2.59	1.2	0.997141	-0.0406703	-0.0235376	0.011427	0
3.031	3.042	2.046	0.0033	-0.0045	-0.0093	4.331	4.274	4.197	4.23	0	0	0	0	0.0437521	0.0303566	0.0044969	0.0246692	0.0169181	9.74987	-4.58	-2.57	1.2	0.997163	-0.0402097	-0.0233671	0.0114761	0
